V1,V2,V3
-18.06186985982466,-3.767720366824662,2.6704828331753347
-17.335159443854977,-3.0410099508549777,3.397193249145019
-16.62138056765551,-2.3272310746555114,4.110972125344485
-15.920812755571816,-1.6266632625718174,4.811539937428179
-15.233735531949474,-0.939586038949475,5.498617161050522
-14.560428421134041,-0.2662789281340423,6.171924271865954
-13.901170947471094,0.392978545528905,6.831181745528902
-13.256242635306204,1.0379068576937946,7.476110057693791
-12.625923008984937,1.6682264840150616,8.106429684015058
-12.010491592852869,2.28365790014713,8.721861100147127
-11.41022791125556,2.8839215817444384,9.322124781744435
-10.825411488538588,3.468738004461411,9.906941204461408
-10.25662553465958,4.037523958340419,10.475727158340415
-9.703799033597303,4.590350459402696,11.028553659402693
-9.166230170729055,5.1279193222709445,11.566122522270941
-8.64321713143211,5.6509323615678895,12.089135561567886
-8.134058101083756,6.160091391916243,12.59829459191624
-7.6380512650612795,6.65609822793872,13.094301427938717
-7.154494808741959,7.139654684258041,13.577857884258037
-6.682686917503083,7.611462575496917,14.049665775496914
-6.221925776721938,8.072223716278062,14.510426916278059
-5.771509571775801,8.522639921224199,14.960843121224196
-5.330736488041961,8.9634130049580385,15.401616204958035
-4.909414486030349,9.38473500696965,15.822938206969647
-4.51557847273225,9.77857102026775,16.216774220267745
-4.145867053246964,10.148282439753036,16.586485639753032
-3.7969188326738044,10.497230660326196,16.935433860326192
-3.4653724161120794,10.82877707688792,17.266980276887917
-3.1478664086610975,11.146283084338902,17.5844862843389
-2.841039415420167,11.453110077579833,17.89131327757983
-2.541530041488593,11.752619451511407,18.190822651511404
-2.2459768919656886,12.048172601034311,18.486375801034306
-1.9510185719507591,12.34313092104924,18.781334121049237
-1.653293686543111,12.640855806456889,19.079059006456887
-1.3494408408420595,12.94470865215794,19.38291185215794
-1.0514546057272538,13.242694887272746,19.680898087272745
-0.7712010207085056,13.522948472291494,19.961151672291493
-0.5051258938303596,13.78902359916964,20.227226799169635
-0.2496750331373585,14.044474459862641,20.482677659862638
-0.001294246674043542,14.292855246325956,20.731058446325953
0.2435706575150416,14.537720150515042,20.97592335051504
0.48847387138535403,14.782623364385355,21.22082656438535
0.7369695868923509,15.03111907989235,21.469322279892346
0.9926119959914894,15.28676148899149,21.724964688991484
1.2589552906382266,15.553104783638226,21.991307983638222
1.5395536627880197,15.833703155788019,22.271906355788015
1.8233714824344291,16.11752097543443,22.555724175434428
2.0984714115084824,16.392620904508483,22.83082410450848
2.367055079871837,16.66120457287184,23.099407772871835
2.631324117386149,16.92547361038615,23.363676810386146
2.8934801539130772,17.187629646913077,23.625832846913074
3.155724819314277,17.44987431231428,23.888077512314275
3.4202597434514077,17.71440923645141,24.152612436451406
3.6892865561861252,17.983436049186125,24.42163924918612
3.9650068873800874,18.259156380380087,24.697359580380084
4.24962236689495,18.54377185989495,24.981975059894946
4.545334624592373,18.839484117592374,25.27768731759237
4.854345290334011,19.148494783334012,25.58669798333401
5.167592879782884,19.461742372782883,25.89994557278288
5.476657879446542,19.77080737244654,26.209010572446537
5.7847048754534525,20.078854368453452,26.51705756845345
6.094898453932079,20.38904794693208,26.827251146932078
6.410403201010888,20.704552694010886,27.142755894010882
6.734383702818341,21.02853319581834,27.466736395818337
7.070004545482905,21.364154038482905,27.8023572384829
7.420430315133044,21.714579808133045,28.152783008133042
7.7888255978972225,22.08297509089722,28.52117829089722
8.178354979903904,22.472504472903903,28.9107076729039
8.592183047281555,22.886332540281554,29.32453574028155
9.023486838844576,23.317636331844575,29.755839531844572
9.46367602981869,23.75782552281869,30.196028722818685
9.913264160949335,24.207413653949335,30.64561685394933
10.372764772981958,24.66691426598196,31.105117465981955
10.842691406661995,25.136840899661994,31.57504409966199
11.323557602734889,25.61770709573489,32.05591029573488
11.815876901946083,26.110026394946082,32.54822959494608
12.320162845041018,26.614312338041017,33.052515538041014
12.83692897276514,27.13107846576514,33.56928166576513
13.36668882586388,27.66083831886388,34.09904151886388
13.90995594508269,28.20410543808269,34.64230863808268
14.466667046580874,28.760816539580873,35.19901973958087
15.036292445462461,29.330441938462464,35.76864513846246
15.618646080889963,29.912795573889966,36.35099877388996
16.213541892025894,30.507691385025893,36.94589458502589
16.82079381803276,31.11494331103276,37.55314651103276
17.440215798073083,31.734365291073082,38.17256849107308
18.07162177130937,32.36577126430937,38.80397446430937
18.714825676904134,33.00897516990413,39.44717836990413
19.369641454019888,33.66379094701989,40.10199414701988
20.03588304181914,34.33003253481914,40.768235734819136
20.71336437946441,35.00751387246441,41.445717072464404
