year,SCAM
926,0
927,0.06019306188035377
947,0.06019306188035377
967,0.06019306188035377
987,0.06019306188035377
1007,0.06019306188035377
1027,0.06019306188035377
1047,0.06019306188035377
1067,0.06019306188035377
1087,0.06019306188035377
1107,0.06019306188035377
1127,0.06019306188035377
1147,0.06019306188035377
1167,0.06019306188035377
1187,0.06019306188035377
1207,0.06019306188035377
1227,0.06019306188035377
1247,0.06019306188035377
1267,0.06019306188035377
1287,0.06019306188035377
1307,0.06019306188035377
1327,0.06019306188035377
1347,0.06019306188035377
1367,0.06019306188035377
1387,0.06019306188035377
1407,0.06019306188035377
1427,0.06019306188035377
1447,0.06019306188035377
1467,0.06019306188035377
1487,0.06019306188035377
1507,0.06019306188035377
1527,0.06019306188035377
1547,0.06019306188035377
1567,0.06019306188035377
1587,0.06019306188035377
1607,0.06019306188035377
1627,0.06019306188035377
1647,0.06019306188035377
1667,0.06019306188035377
1687,0.06019306188035377
1707,0.06019306188035377
1727,0.06019306188035377
1747,0.06019306188035377
1767,0.06019306188035377
1787,0.06019306188035377
1807,0.06019306188035377
1827,0.06019306188035377
1847,0.06019306188035377
1867,0.06019306188035377
1887,0.06019306188035377
1907,0.06019306188035377
1927,0.06019306188035377
1928,0.06019306188035377
1929,0.05979835381977589
1930,0.059755159653226475
1931,0.059722990926597844
1932,0.059697659200083325
1933,0.05968012092201756
1934,0.05967065255222474
1935,0.05966950088521954
1936,0.05967687517550977
1937,0.05969294165782767
1938,0.05971781985628882
1939,0.059751578759571315
1940,0.05979440538003586
1941,0.05984605557899372
1942,0.05990587621117324
1943,0.059973175541055274
1944,0.06004723327077331
1945,0.06012730650852571
1946,0.060212636222765355
1947,0.06030245351091723
1948,0.0603959856783062
1949,0.06049246211466292
1950,0.06059111995274838
1951,0.060695933212165966
1952,0.060809491290162665
1953,0.06092897711956332
1954,0.061051641401438074
1955,0.06117490296596319
1956,0.06129638912617815
1957,0.061413976447830566
1958,0.061525819741171786
1959,0.06163038184821403
1960,0.06172645476904335
1961,0.06181316292728133
1962,0.06188996323500701
1963,0.06195940301716488
1964,0.06202285632074274
1965,0.062078478935651576
1966,0.06212474966043279
1967,0.06216051449849399
1968,0.06218500797482117
1969,0.062197867092588476
1970,0.0621192416085079
1971,0.061203280297683404
1972,0.05945663090036857
1973,0.057187322558141185
1974,0.05457445096194413
1975,0.051701586362570495
1976,0.04875638057760545
1977,0.04588603276295844
1978,0.04321215922233024
1979,0.0408187076489297
1980,0.03875837446574293
1981,0.037057309512754655
1982,0.035722296404065546
1983,0.03474669733767133
1984,0.03411557156592182
1985,0.03380940901333518
1986,0.033593917944246376
1987,0.03334456763829796
1988,0.03314425563223922
1989,0.03301591499848677
1990,0.03300432846485024
1991,0.03313430234488224
1992,0.03343019779134093
1993,0.033908003285704647
1994,0.034579895549789574
1995,0.03545299225368992
1996,0.036530582772027476
1997,0.03763714873135671
1998,0.03865398120945174
1999,0.03962710629578603
2000,0.04055936785805647
2001,0.04147016923137303
2002,0.04236794584433756
2003,0.04326188008110421
2004,0.04415791355364296
2005,0.04506088522399487
2006,0.045974129470830016
2007,0.046899943598744276
2008,0.047831901803103705
2009,0.048760151538722374
2010,0.0496815971570288
2011,0.05059243864269192
2012,0.05148987056564058
2013,0.05237126005991888
2014,0.05323426126026032
2015,0.05407665663725614
2016,0.05489629912833216
2017,0.055691032382055194
2018,0.056458621200008885
